County,2014,2015,2016,2017,2018,2019,2020,2021,Total,Institutions,Funding per institution
Harju,45922.23,72904.93,78437.17,74521.36,65249.29,57712.65,105765.97,89713.95,590227.55,201,2936.455473
Hiiu,805.48,612,3234.56,2842.78,526.68,1647.09,6070.42,,15739.01,9,1748.778889
Ida-Viru,8912.9,22497.27,16607.28,14632.83,16568.62,31154.87,41876.75,13348.34,165598.86,64,2587.482188
J‰rva,5019.51,16602.05,10041.9,7603.04,4514.43,22313.44,12321.15,11130.3,89545.82,24,3731.075833
Jıgeva,8725.47,11958.86,7121.92,8397.15,3371.13,9661.59,10971.81,13602.7,73810.63,25,2952.4252
L‰‰ne,1424.28,10340.97,8461.36,6464.64,11995.69,5274.71,5873.37,5933.18,55768.2,22,2534.918182
L‰‰ne-Viru,15817.65,15159.5,4716.53,14942.72,8330.38,18821.96,12399.58,25593.07,115781.39,41,2823.936341
P‰rnu,9877.63,13261.9,13548.11,24863.84,20327.42,24028.27,29234.91,19176.31,154318.39,60,2571.973167
Pılva,1402.33,3193.71,2800.43,8527.01,9492.91,6331.63,7896.2,7240.98,46885.2,23,2038.486957
Rapla,2519.73,12819.55,12758.01,3691.64,16188.61,12206.88,5591.67,10948.38,76724.47,32,2397.639688
Saare,6268.95,8101.61,3471.25,12551.66,14232.86,3058.96,2102.97,9250.57,59038.83,18,3279.935
Tartu,28784.46,20297.27,17320.18,39900.32,32653.9,57553.14,27481.65,54010.67,278001.59,96,2895.849896
Valga,10404.66,2708.14,562.5,8235,977.48,9596.79,1011.5,5163.61,38659.68,15,2577.312
Viljandi,13870.39,9910.32,6012.16,2157.72,17803.11,16946.89,13816.18,18631.35,99148.12,33,3004.488485
Vıru,4253.63,10910.89,5328.95,14045.78,17516.43,13667.51,9596.38,11413.07,86732.64,28,3097.594286
